competition, planner, domain, pn, steps, time
IPC2002, VHPOP, Depots, depotprobu18184, 552, 620
IPC2002, VHPOP, Depots, depotprobu18185, 866, 1190
IPC2002, VHPOP, Depots, depotprobu18186, 335, 270
IPC2002, VHPOP, Depots, depotprobu18187, 431, 350
IPC2002, VHPOP, Depots, depotprobu18188, 588, 730
IPC2002, VHPOP, Depots, depotprobu18189, 397, 1500
IPC2002, VHPOP, Depots, depotprobu75120, 549, 2200
IPC2002, VHPOP, Depots, depotprobu75121, 917, 4890
IPC2002, VHPOP, Depots, depotprobu75122, 1393, 9750
IPC2002, FF.quality, DriverLog, DLOG-2-2-2, 8, 230
IPC2002, FF.quality, DriverLog, DLOG-2-2-3, 21, 30
IPC2002, FF.quality, DriverLog, DLOG-2-2-4, 12, 60
IPC2002, FF.quality, DriverLog, DLOG-3-2-4, 17, 220
IPC2002, FF.quality, DriverLog, DLOG-3-2-5, 20, 10
IPC2002, FF.quality, DriverLog, DLOG-3-3-5, 13, 230
IPC2002, FF.quality, DriverLog, DLOG-3-3-6, 14, 60
IPC2002, FF.quality, DriverLog, DLOG-3-3-7, 23, 160
IPC2002, FF.quality, DriverLog, DLOG-2-3-6, 29, 260
IPC2002, FF.quality, DriverLog, DLOG-2-2-20, 18, 160
IPC2002, FF.quality, DriverLog, DLOG-2-2-21, 30, 440
IPC2002, FF.quality, DriverLog, DLOG-2-2-22, 59, 1480
IPC2002, FF.quality, DriverLog, DLOG-2-2-23, 36, 1080
IPC2002, FF.quality, DriverLog, DLOG-2-2-24, 37, 620
IPC2002, FF.quality, DriverLog, DLOG-2-2-25, 48, 40640
IPC2002, FF.speed, DriverLog, DLOG-2-2-2, 8, 10
IPC2002, FF.speed, DriverLog, DLOG-2-2-3, 22, 10
IPC2002, FF.speed, DriverLog, DLOG-2-2-4, 12, 10
IPC2002, FF.speed, DriverLog, DLOG-3-2-4, 16, 10
IPC2002, FF.speed, DriverLog, DLOG-3-2-5, 22, 10
IPC2002, FF.speed, DriverLog, DLOG-3-3-5, 13, 20
IPC2002, FF.speed, DriverLog, DLOG-3-3-6, 17, 10
IPC2002, FF.speed, DriverLog, DLOG-3-3-7, 23, 20
IPC2002, FF.speed, DriverLog, DLOG-2-3-6, 31, 30
IPC2002, FF.speed, DriverLog, DLOG-2-2-20, 20, 10
IPC2002, FF.speed, DriverLog, DLOG-2-2-21, 25, 10
IPC2002, FF.speed, DriverLog, DLOG-2-2-22, 52, 550
IPC2002, FF.speed, DriverLog, DLOG-2-2-23, 36, 220
IPC2002, FF.speed, DriverLog, DLOG-2-2-24, 38, 320
IPC2002, FF.speed, DriverLog, DLOG-2-2-25, 48, 110
IPC2002, LPG, DriverLog, DLOG-2-2-2, 7, 20
IPC2002, LPG, DriverLog, DLOG-2-2-3, 21, 90
IPC2002, LPG, DriverLog, DLOG-2-2-4, 12, 10
IPC2002, LPG, DriverLog, DLOG-3-2-4, 16, 1590
IPC2002, LPG, DriverLog, DLOG-3-2-5, 19, 30
IPC2002, LPG, DriverLog, DLOG-3-3-5, 17, 40
IPC2002, LPG, DriverLog, DLOG-3-3-6, 13, 20
IPC2002, LPG, DriverLog, DLOG-3-3-7, 23, 40
IPC2002, LPG, DriverLog, DLOG-2-3-6, 23, 840
IPC2002, LPG, DriverLog, DLOG-2-2-20, 17, 40
IPC2002, LPG, DriverLog, DLOG-2-2-21, 23, 100
IPC2002, LPG, DriverLog, DLOG-2-2-22, 58, 3890
IPC2002, LPG, DriverLog, DLOG-2-2-23, 28, 9150
IPC2002, LPG, DriverLog, DLOG-2-2-24, 29, 12410
IPC2002, LPG, DriverLog, DLOG-2-2-25, 43, 2490
IPC2002, LPG, DriverLog, DLOG-2-2-27, 110, 2320
IPC2002, LPG, DriverLog, DLOG-2-2-28, 149, 3680
IPC2002, LPG, DriverLog, DLOG-2-2-30, 229, 86600
IPC2002, LPG.quality, DriverLog, DLOG-2-2-2, 7, 20
IPC2002, LPG.quality, DriverLog, DLOG-2-2-3, 20, 36140
IPC2002, LPG.quality, DriverLog, DLOG-2-2-4, 12, 10
IPC2002, LPG.quality, DriverLog, DLOG-3-2-4, 16, 1590
IPC2002, LPG.quality, DriverLog, DLOG-3-2-5, 18, 30110
IPC2002, LPG.quality, DriverLog, DLOG-3-3-5, 17, 40
IPC2002, LPG.quality, DriverLog, DLOG-3-3-6, 13, 20
IPC2002, LPG.quality, DriverLog, DLOG-3-3-7, 22, 1050
IPC2002, LPG.quality, DriverLog, DLOG-2-3-6, 23, 840
IPC2002, LPG.quality, DriverLog, DLOG-2-2-20, 17, 40
IPC2002, LPG.quality, DriverLog, DLOG-2-2-21, 21, 8320
IPC2002, LPG.quality, DriverLog, DLOG-2-2-22, 52, 176080
IPC2002, LPG.quality, DriverLog, DLOG-2-2-23, 28, 9150
IPC2002, LPG.quality, DriverLog, DLOG-2-2-24, 29, 12410
IPC2002, LPG.quality, DriverLog, DLOG-2-2-25, 43, 2490
IPC2002, LPG.quality, DriverLog, DLOG-2-2-27, 102, 3240
IPC2002, LPG.quality, DriverLog, DLOG-2-2-28, 149, 3680
IPC2002, LPG.quality, DriverLog, DLOG-2-2-30, 229, 86600
IPC2002, LPG.speed, DriverLog, DLOG-2-2-2, 8, 10
IPC2002, LPG.speed, DriverLog, DLOG-2-2-3, 24, 20
IPC2002, LPG.speed, DriverLog, DLOG-2-2-4, 12, 10
IPC2002, LPG.speed, DriverLog, DLOG-3-2-4, 32, 20
IPC2002, LPG.speed, DriverLog, DLOG-3-2-5, 22, 20
IPC2002, LPG.speed, DriverLog, DLOG-3-3-5, 63, 20
IPC2002, LPG.speed, DriverLog, DLOG-3-3-6, 13, 20
IPC2002, LPG.speed, DriverLog, DLOG-3-3-7, 25, 20
IPC2002, LPG.speed, DriverLog, DLOG-2-3-6, 25, 30
IPC2002, LPG.speed, DriverLog, DLOG-2-2-20, 20, 30
IPC2002, LPG.speed, DriverLog, DLOG-2-2-21, 25, 20
IPC2002, LPG.speed, DriverLog, DLOG-2-2-22, 58, 3890
IPC2002, LPG.speed, DriverLog, DLOG-2-2-23, 34, 90
IPC2002, LPG.speed, DriverLog, DLOG-2-2-24, 34, 90
IPC2002, LPG.speed, DriverLog, DLOG-2-2-25, 47, 310
IPC2002, LPG.speed, DriverLog, DLOG-2-2-27, 110, 2320
IPC2002, LPG.speed, DriverLog, DLOG-2-2-28, 149, 3680
IPC2002, LPG.speed, DriverLog, DLOG-2-2-30, 272, 58770
IPC2002, MIPS, DriverLog, DLOG-2-2-2, 7, 59
IPC2002, MIPS, DriverLog, DLOG-2-2-3, 22, 80
IPC2002, MIPS, DriverLog, DLOG-2-2-4, 18, 70
IPC2002, MIPS, DriverLog, DLOG-3-2-4, 19, 70
IPC2002, MIPS, DriverLog, DLOG-3-2-5, 27, 89
IPC2002, MIPS, DriverLog, DLOG-3-3-5, 13, 70
IPC2002, MIPS, DriverLog, DLOG-3-3-6, 15, 80
IPC2002, MIPS, DriverLog, DLOG-3-3-7, 27, 619
IPC2002, MIPS, DriverLog, DLOG-2-3-6, 22, 100
IPC2002, MIPS, DriverLog, DLOG-2-2-20, 21, 119
IPC2002, MIPS, DriverLog, DLOG-2-2-21, 22, 130
IPC2002, MIPS, DriverLog, DLOG-2-2-22, 42, 1689
IPC2002, MIPS, DriverLog, DLOG-2-2-23, 36, 680
