Planner,Dom,Problem,Time,Steps,comp
grt,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,450,18,IPC2000
hsp,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,40,18,IPC2000
stan,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,10,17,IPC2000
system-r,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,180,26,IPC2000
tokenplan,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6300,17,IPC2000
altalt,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,123,18,IPC2000
grt,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,440,17,IPC2000
hsp,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,40,17,IPC2000
stan,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,10,17,IPC2000
system-r,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,170,22,IPC2000
tokenplan,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,10010,17,IPC2000
altalt,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,126,18,IPC2000
grt,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,440,15,IPC2000
hsp,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,40,15,IPC2000
stan,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,20,15,IPC2000
system-r,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,150,23,IPC2000
tokenplan,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,1270,15,IPC2000
altalt,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,121,18,IPC2000
grt,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,450,18,IPC2000
hsp,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,50,20,IPC2000
stan,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,20,17,IPC2000
system-r,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,180,24,IPC2000
tokenplan,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6880,17,IPC2000
altalt,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,123,18,IPC2000
grt,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,450,19,IPC2000
hsp,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,40,18,IPC2000
stan,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,10,18,IPC2000
system-r,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,190,28,IPC2000
tokenplan,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,7430,18,IPC2000
ff,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,20,16,IPC2000
ipp,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,600,16,IPC2000
propplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,3600,16,IPC2000
propplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,2600,16,IPC2000
talplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,85,18,IPC2000
ff,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,20,19,IPC2000
ipp,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,760,18,IPC2000
propplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,4100,18,IPC2000
propplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,3000,18,IPC2000
talplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,75,20,IPC2000
ff,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,10,14,IPC2000
ipp,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,350,13,IPC2000
propplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,3100,13,IPC2000
propplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,2300,13,IPC2000
talplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,85,13,IPC2000
ff,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,10,19,IPC2000
ipp,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,510,15,IPC2000
propplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,3900,15,IPC2000
propplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,2900,15,IPC2000
talplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,85,17,IPC2000
ff,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,10,12,IPC2000
ipp,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,200,12,IPC2000
propplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,3100,12,IPC2000
propplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,2200,12,IPC2000
talplan,Elevator,mixed-f10-p5-u20-v5-g5-a60-n10-a20-b80-n50-f5-r4,75,15,IPC2000
altalt,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,194,22,IPC2000
grt,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,490,20,IPC2000
hsp,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,80,20,IPC2000
stan,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,50,21,IPC2000
system-r,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,260,33,IPC2000
tokenplan,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,20410,19,IPC2000
altalt,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,171,22,IPC2000
grt,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,480,20,IPC2000
hsp,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,80,20,IPC2000
stan,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,20,19,IPC2000
system-r,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,280,34,IPC2000
tokenplan,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,20330,19,IPC2000
altalt,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,162,21,IPC2000
grt,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,480,23,IPC2000
hsp,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,80,24,IPC2000
stan,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,60,23,IPC2000
system-r,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,220,28,IPC2000
tokenplan,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,45840,20,IPC2000
altalt,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,163,20,IPC2000
grt,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,480,20,IPC2000
hsp,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,70,16,IPC2000
stan,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,40,20,IPC2000
system-r,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,230,29,IPC2000
tokenplan,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,22260,20,IPC2000
altalt,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,158,23,IPC2000
grt,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,490,22,IPC2000
hsp,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,80,22,IPC2000
stan,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,10,21,IPC2000
system-r,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,270,32,IPC2000
tokenplan,Elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,49790,21,IPC2000
ff,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,20,18,IPC2000
ipp,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,2930,17,IPC2000
propplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,11100,17,IPC2000
propplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,4300,17,IPC2000
talplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r0,75,19,IPC2000
ff,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,20,14,IPC2000
ipp,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,1590,14,IPC2000
propplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,10300,14,IPC2000
propplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,3500,14,IPC2000
talplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r1,85,16,IPC2000
ff,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,20,19,IPC2000
ipp,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,4140,18,IPC2000
propplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,11700,18,IPC2000
propplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,5100,18,IPC2000
talplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r2,85,21,IPC2000
ff,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,20,21,IPC2000
ipp,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,4130,16,IPC2000
propplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,11300,16,IPC2000
propplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,4400,16,IPC2000
talplan,Elevator,mixed-f12-p6-u20-v5-g5-a60-n10-a20-b80-n50-f5-r3,85,22,IPC2000
