"","pkey","com","dom","gn","solvedg","minSteps","graph","complete","gl","fap","parallel","GClass"
"178","IPC2000-blocks-BLOCKS-28-0","IPC2000","blocks","BLOCKS-28-0",1,102,1,0,39,26,1,"SIG"
"179","IPC2000-blocks-BLOCKS-28-1","IPC2000","blocks","BLOCKS-28-1",1,104,1,0,44,30,1,"SIG"
"180","IPC2000-blocks-BLOCKS-30-0","IPC2000","blocks","BLOCKS-30-0",1,94,1,0,33,20,1,"SIG"
"181","IPC2000-blocks-BLOCKS-30-1","IPC2000","blocks","BLOCKS-30-1",1,112,1,0,45,32,1,"SIG"
"182","IPC2000-blocks-BLOCKS-35-0","IPC2000","blocks","BLOCKS-35-0",1,128,0,NA,NA,NA,NA,"SNG"
"183","IPC2000-blocks-BLOCKS-35-1","IPC2000","blocks","BLOCKS-35-1",1,132,0,NA,NA,NA,NA,"SNG"
"184","IPC2000-blocks-BLOCKS-4-0","IPC2000","blocks","BLOCKS-4-0",1,6,1,1,6,4,0,"SGCNP"
"185","IPC2000-blocks-BLOCKS-4-1","IPC2000","blocks","BLOCKS-4-1",1,10,1,1,10,10,0,"SGCNP"
"186","IPC2000-blocks-BLOCKS-4-2","IPC2000","blocks","BLOCKS-4-2",1,6,1,1,6,6,0,"SGCNP"
"187","IPC2000-blocks-BLOCKS-40-0","IPC2000","blocks","BLOCKS-40-0",1,138,0,NA,NA,NA,NA,"SNG"
"188","IPC2000-blocks-BLOCKS-40-1","IPC2000","blocks","BLOCKS-40-1",1,146,0,NA,NA,NA,NA,"SNG"
"189","IPC2000-blocks-BLOCKS-45-0","IPC2000","blocks","BLOCKS-45-0",1,174,0,NA,NA,NA,NA,"SNG"
"190","IPC2000-blocks-BLOCKS-45-1","IPC2000","blocks","BLOCKS-45-1",1,162,0,NA,NA,NA,NA,"SNG"
"191","IPC2000-blocks-BLOCKS-5-0","IPC2000","blocks","BLOCKS-5-0",1,12,1,1,12,10,0,"SGCNP"
"192","IPC2000-blocks-BLOCKS-5-1","IPC2000","blocks","BLOCKS-5-1",1,10,1,1,10,8,0,"SGCNP"
"193","IPC2000-blocks-BLOCKS-5-2","IPC2000","blocks","BLOCKS-5-2",1,16,1,1,16,12,0,"SGCNP"
"194","IPC2000-blocks-BLOCKS-50-0","IPC2000","blocks","BLOCKS-50-0",1,174,0,NA,NA,NA,NA,"SNG"
"195","IPC2000-blocks-BLOCKS-50-1","IPC2000","blocks","BLOCKS-50-1",1,188,0,NA,NA,NA,NA,"SNG"
"196","IPC2000-blocks-BLOCKS-55-0","IPC2000","blocks","BLOCKS-55-0",0,Inf,0,NA,NA,NA,NA,"NSNG"
"197","IPC2000-blocks-BLOCKS-55-1","IPC2000","blocks","BLOCKS-55-1",0,Inf,0,NA,NA,NA,NA,"NSNG"
"198","IPC2000-blocks-BLOCKS-6-0","IPC2000","blocks","BLOCKS-6-0",1,12,1,1,12,9,0,"SGCNP"
"199","IPC2000-blocks-BLOCKS-6-1","IPC2000","blocks","BLOCKS-6-1",1,10,1,1,10,6,0,"SGCNP"
"200","IPC2000-blocks-BLOCKS-6-2","IPC2000","blocks","BLOCKS-6-2",1,20,1,1,20,14,0,"SGCNP"
"201","IPC2000-blocks-BLOCKS-60-0","IPC2000","blocks","BLOCKS-60-0",0,Inf,0,NA,NA,NA,NA,"NSNG"
"202","IPC2000-blocks-BLOCKS-60-1","IPC2000","blocks","BLOCKS-60-1",0,Inf,0,NA,NA,NA,NA,"NSNG"
"203","IPC2000-blocks-BLOCKS-7-0","IPC2000","blocks","BLOCKS-7-0",1,20,1,1,20,16,0,"SGCNP"
"204","IPC2000-blocks-BLOCKS-7-1","IPC2000","blocks","BLOCKS-7-1",1,22,1,1,22,12,0,"SGCNP"
"205","IPC2000-blocks-BLOCKS-7-2","IPC2000","blocks","BLOCKS-7-2",1,20,1,1,20,12,0,"SGCNP"
"206","IPC2000-blocks-BLOCKS-8-0","IPC2000","blocks","BLOCKS-8-0",1,18,1,1,18,9,0,"SGCNP"
"207","IPC2000-blocks-BLOCKS-8-1","IPC2000","blocks","BLOCKS-8-1",1,20,1,1,20,10,0,"SGCNP"
"208","IPC2000-blocks-BLOCKS-8-2","IPC2000","blocks","BLOCKS-8-2",1,16,1,1,16,10,0,"SGCNP"
"209","IPC2000-blocks-BLOCKS-9-0","IPC2000","blocks","BLOCKS-9-0",1,30,1,1,30,18,0,"SGCNP"
"210","IPC2000-blocks-BLOCKS-9-1","IPC2000","blocks","BLOCKS-9-1",1,28,1,1,28,20,0,"SGCNP"
